-0.17,-0.28,-0.28,0.29,-0.06,-0.42
-0.18,-0.42,-0.44,0.11,-0.02,-0.64
-0.22,-0.57,-0.6,0.24,0.05,-1.16
-0.03,-0.58,-1.22,0.45,0.02,-1.72
0.75,-1.16,-1.38,0.4,-0.16,-1.84
0.01,-0.65,-1.81,0.45,-0.22,-1.62
0.05,-0.48,-1.21,0.32,-0.09,-1.14
0.15,-0.13,-0.74,0.29,0.07,-0.59
0.1,0.25,-0.29,0.21,0.27,-0.23
0.12,0.21,0,0.17,0.2,0
-0.13,-0.12,-0.12,0.06,-0.16,0.1
-0.48,-0.36,-0.34,0.19,-0.29,-0.3
-0.69,-0.26,-0.53,0.18,-0.13,-1.04
-0.65,-1.47,-1.53,0.15,0.18,-1.83
1.59,-0.14,-1.17,0.5,0.29,-2.16
0.46,-0.96,-1.37,0.31,-0.06,-1.76
-0.49,-0.92,-0.94,0.13,-0.28,-1.11
-0.26,-0.43,-0.43,0.26,-0.11,-0.61
0.07,-0.2,-0.2,0.21,0.06,-0.22
0.05,-0.08,-0.08,0.18,0.02,-0.03
-0.18,-0.16,-0.16,0.14,-0.17,-0.06
-0.45,-0.33,-0.33,0.22,-0.15,-0.49
-0.41,-0.51,-0.56,0.17,0.1,-1.09
0.57,-1.05,-1.09,0.33,0.2,-1.68
0.56,-0.47,-1.63,0.4,-0.13,-1.89
-0.36,-1.1,-1.68,0.45,-0.62,-1.52
-0.13,-0.46,-1.22,0.22,-0.32,-0.96
-0.06,-0.11,-0.62,0.26,-0.02,-0.6
0.11,-0.04,-0.17,0.16,0.19,-0.26
0.01,0.06,-0.01,0.04,0.2,-0.06
-0.25,-0.1,-0.17,0.07,0.04,-0.31
-0.55,-0.32,-0.34,0.25,0.04,-0.94
-0.22,-1.34,-1.53,0.33,-0.09,-1.77
1.3,-0.65,-1.33,0.4,-0.14,-2.01
-0.22,-1.07,-1.38,0.15,-0.24,-1.58
-0.51,-0.36,-0.71,0.08,-0.08,-0.98
-0.06,-0.16,-0.43,0.22,0.13,-0.59
0.19,-0.06,-0.3,0.22,0.17,-0.33
-0.02,-0.07,-0.23,0.22,0.11,-0.17
-0.14,-0.17,-0.25,0.22,-0.01,-0.26
